,id,geodetic_c,current_ma,descriptio,mark_type,beacon_typ,mark_condi,order,land_distr,latitude,longitude,ellipsoida,geometry,affected_area,affected_length
131903,45538270,EXVM,BMT-261,TDC Benchmark,Unknown,Not Beaconed,Reliably Placed,12,Nelson,-41.15518329,173.0383254,,POINT (1603215.6531504255 5444015.18115059),0.0,0.0
130586,45538309,EXUC,BMT-263,TDC Benchmark,Unknown,Not Beaconed,Reliably Placed,12,Nelson,-41.14847251,173.0311687,,POINT (1602615.444298576 5444760.399265874),0.0,0.0
74068,37036256,C5RH,RM 7677 SO 60977,N/A,Pin,Unknown,Reliably Placed,6,North Auckland,-36.781285052,175.010200697,,POINT (1779381.249384447 5927505.335975101),0.0,0.0
17582,36742961,A0U2,18372,Stainless steel pin set in 50mm iron pipe up 0.1 in sand hill.,Pin,Two metre beacon,Reliably Placed,5,Southland,-46.658723468,168.860484764,24.4921,POINT (1283308.45631934 4824432.299124868),0.0,0.0
61890,36769588,A0NB,AWARUA,2 INCH IRON PIPE OVER BURIED MARK. Reported destroyed by coastal erosion Jan 98,Other,Not Beaconed,Destroyed,6,Southland,-46.606369184,168.518147947,,POINT (1256789.6971677432 4828813.225924603),0.0,0.0
35968,36725141,A0NC,AWARUA NO 2,Stainless steel pin set in 50mm iron pipe set in concrete,Pin,Four metre beacon,Reliably Placed,5,Southland,-46.60609506,168.518117998,9.2366,POINT (1256785.6693180175 4828843.549553502),0.0,0.0
110329,36751810,A0N9,A (Campbelltown Hundred SD),DESTROYED SEE FILE 17/149/20 OF 19/4/79.,Other,Not Beaconed,,9,Southland,-46.604793083333,168.5259001,,POINT (1257373.3153914674 4829022.1093377555),0.0,0.0
116503,36760741,A0UA,D (Waikawa SD),No Mark Information Recorded,Unknown,Not Beaconed,Reliably Placed,9,Southland,-46.645569033333,169.13769335,,POINT (1304442.4796123672 4826972.526899263),0.0,0.0
59279,42103592,E9L1,IT IV SO 19802,N/A,Tube,Not Beaconed,Not Specified,6,Otago,-46.563350586,169.472830979,,POINT (1329677.3224975576 4837311.662494186),0.0,0.0
63381,42103591,E9L2,IT V SO 11840,N/A,Tube,Not Beaconed,Not Specified,6,Otago,-46.562743993,169.473743837,,POINT (1329744.262949787 4837382.18853603),0.0,0.0
11954,45028574,EX11,IT 2 SO 498170,"IRON TUBE DOWN 0.3M IN GRASS BERM, 1.6M FROM PLASTIC MARKER POST",Tube,Not Beaconed,Reliably Placed,5,,-46.562698555,169.473797419,11.2071,POINT (1329748.1433935123 4837387.422069582),0.0,0.0
60853,42103581,E9LC,IS I DP 9564,N/A,"Spike, Bar, Bolt, Rod, Dog",Not Beaconed,Not Specified,6,Otago,-46.562221472,169.472094894,,POINT (1329615.2967089359 4837434.589593381),0.0,0.0
102918,42103590,E9L3,IS VIII DP 9564,N/A,"Spike, Bar, Bolt, Rod, Dog",Not Beaconed,Not Specified,7,Otago,-46.561872891,169.473032172,,POINT (1329685.3921755492 4837476.534575545),0.0,0.0
62095,42103582,E9LB,IT IV DP 9564,N/A,Tube,Not Beaconed,Not Specified,6,Otago,-46.561464003,169.471576257,,POINT (1329571.7811307856 4837516.969535258),0.0,0.0
102998,42103589,E9L4,IT VII DP 9564,N/A,Tube,Not Beaconed,Not Specified,7,Otago,-46.561229539,169.472506587,,POINT (1329641.913532938 4837546.212106026),0.0,0.0
58353,42103583,E9LA,IS I DP 16961,N/A,"Spike, Bar, Bolt, Rod, Dog",Not Beaconed,Not Specified,6,Otago,-46.561123125,169.471259425,,POINT (1329545.8052780607 4837553.754888563),0.0,0.0
103035,42103588,E9L5,IT VI DP 9564,N/A,Tube,Not Beaconed,Not Specified,7,Otago,-46.560934708,169.472265725,,POINT (1329621.9889372508 4837578.1437542895),0.0,0.0
44743,42103584,E9L9,IS II DP 16961,Down 0.20m in metal Rd,"Spike, Bar, Bolt, Rod, Dog",Not Beaconed,Not Specified,6,Otago,-46.560701922,169.470878591,,POINT (1329514.5219335863 4837599.247774429),0.0,0.0
44736,42103586,E9L7,IT I DP 11449,Down 0.25m in grass,Tube,Not Beaconed,Not Specified,6,Otago,-46.560401679,169.470682331,,POINT (1329497.987725854 4837631.932095441),0.0,0.0
103317,42103587,E9L6,IT II DP 11449,N/A,Tube,Not Beaconed,Not Specified,7,Otago,-46.560303579,169.471750145,,POINT (1329579.3361964028 4837646.49599117),0.0,0.0
129687,45223949,EHU3,DP2A,2m 50X50 Red and white painted pole driven to 500 up in sand.,Other,Not Beaconed,Reliably Placed,12,Otago,-45.90963412,170.5008805,,POINT (1406174.4852579697 4912955.638638041),0.0,0.0
32920,44098637,EM6C,BM 1/86,Brass rectangular plate with arrow. Horizontal reference point is the tip of the arrow. Vertical reference points is the top of the raised square on the plate.,Other,Not Beaconed,Reliably Placed,5,Otago,-45.783418131,170.716289039,7.5658,POINT (1422479.5249846326 4927479.520642083),0.0,0.0
22041,44098677,EAYR,SPIT 1,Stainless Steel pin set in bucket filled with concrete 1.1m below ground in PVC pipe under plastic lid,Pin,Not Beaconed,Reliably Placed,5,Otago,-45.781885415,170.711404621,6.9532,POINT (1422094.9708254843 4927638.942379145),0.0,0.0
127535,36746083,AFAG,XX 34,SS PIN IN CONCRETE BLOCK WITH CONCRETE MARKER POST APPROX 2 FT AWAY MARKED WITH LETTERS BM FACING THE BENCH MARK.,Other,Not Beaconed,,12,Otago,-45.409336192774,170.830060237769,14.5064,POINT (1430198.2006327824 4969285.524487197),0.0,0.0
109466,36771648,B2PY,Y (Oamaru SD),SO PLAN 1303.,Other,Not Beaconed,,9,Otago,-45.089109732478,170.983311968087,,POINT (1441300.7533014663 5005172.17723178),0.0,0.0
7848,36751466,C1WV,IT III DP 19398,Mark not found.,Unknown,Not Beaconed,Searched For and Not Found,5,Otago,-45.065426697,171.01755995,23.2993,POINT (1443931.3475697453 5007869.73342952),0.0,0.0
107301,36727199,AA6D,C (Oamaru SD),SO PLANS 1303 AND 1391.,Other,Not Beaconed,,9,Otago,-45.06641102433,171.018099500783,,POINT (1443976.5026000522 5007761.427800551),0.0,0.0
115027,41863723,EE8E,HS8EEZ002,Stainless steel hexagonal bolt set in concrete,Pin,Not Beaconed,Reliably Placed,9,Otago,-45.06227019,171.0240094,,POINT (1444430.5196862821 5008232.807356026),0.0,0.0
115819,41863722,EE8F,HS8EEZ002A,Stainless steel hexagonal bolt set in concrete,Pin,Not Beaconed,Reliably Placed,9,Otago,-45.06200967,171.0237561,,POINT (1444409.8705287008 5008261.260677516),0.0,0.0
107749,36736089,AA6E,D (Papakaio SD),SO PLAN 1391.,Other,Not Beaconed,,9,Otago,-45.057021071624,171.032090332048,,POINT (1445052.5480118878 5008831.429668101),0.0,0.0
108609,36753869,AA6G,F (Papakaio SD),SO PLAN 1391.,Other,Not Beaconed,,9,Otago,-45.045276002572,171.049546564721,,POINT (1446395.5535283154 5010169.448019519),0.0,0.0
115767,41863725,EE8C,HS8EEZ001,Stainless steel hexagonal bolt set in concrete,Pin,Not Beaconed,Reliably Placed,9,Otago,-45.01368269,171.0889832,,POINT (1449418.4677519584 5013753.174249451),0.0,0.0
114633,41863724,EE8D,HS8EEZ001A,Stainless steel hexagonal bolt set in concrete,Pin,Not Beaconed,Reliably Placed,9,Otago,-45.01349033,171.0886433,,POINT (1449391.180451589 5013773.90985285),0.0,0.0
109054,36762757,AA6B,AA (Papakaio SD),SO PLAN 1391.,Other,Not Beaconed,,9,Otago,-44.993042545607,171.10766201631,,POINT (1450836.7243958602 5016080.598085992),0.0,0.0
115903,36762766,AA7T,Z (Papakaio SD),SO PLAN 1391.,Other,Not Beaconed,Reliably Placed,9,Otago,-44.967268417193,171.127807012536,,POINT (1452358.4966763651 5018980.666750662),0.0,0.0
121703,36756560,AMN0,O (Patiti SD),,Other,Not Beaconed,,12,Canterbury,-44.531859243004,171.192694262102,,POINT (1456401.0966017793 5067463.377556136),0.0,0.0
69667,36759502,BRHB,SS 494 SO 6248,,Other,Not Beaconed,Reliably Placed,6,Canterbury,-44.414563192,171.264449861,,POINT (1461825.870548367 5080616.052896138),0.0,0.0
91835,36738756,B70E,B (Patiti SD),,Other,Not Beaconed,Reliably Placed,6,Canterbury,-44.414338935,171.264475024,,POINT (1461827.344613977 5080641.006229753),0.0,0.0
69295,36750612,BRH9,SS 493 SO 6248,,Other,Not Beaconed,Reliably Placed,6,Canterbury,-44.414155134,171.264495648,,POINT (1461828.5544132898 5080661.457016936),0.0,0.0
66994,36741722,BRH8,SS 492 SO 6248,,Other,Not Beaconed,Reliably Placed,6,Canterbury,-44.412871152,171.264846664,,POINT (1461853.4770360875 5080804.670553241),0.0,0.0
119520,36738753,B6YV,G17,May be destroyed (mark status was formerly decommissioned).,Other,Not Beaconed,,12,Canterbury,-44.291874814268,171.337973906725,,POINT (1467403.0201159292 5094365.263375786),0.0,0.0
18608,36844615,DF5G,BLK 31A SO 17036,N/A,Pin,Not Beaconed,Reliably Placed,5,Canterbury,-44.289490711,171.337132151,13.0495,POINT (1467330.4962104526 5094628.715504234),0.0,0.0
52782,36762868,B2V3,11131,"DESTROYED. BRASS PLAQUE SET IN CONCRETE BLOCK, FLUSH. Captured from plan SO17036 dated 27-Sep-1988. SO17036 reports mark is destroyed. (Probably by coastal erosion).",Plaque,Not Beaconed,Destroyed,6,Canterbury,-44.289409011,171.338812797,,POINT (1467464.4016512875 5094640.507145088),0.0,0.0
65523,36750778,BJ8C,BLK LVII SO 17036,,Other,Not Beaconed,Reliably Placed,6,Canterbury,-44.284167436,171.344828507,,POINT (1467932.612658804 5095232.416133715),0.0,0.0
120614,36747643,B6YW,G6 (Arowhenua SD),May be destroyed (mark status was formerly decommissioned).,Other,Not Beaconed,,12,Canterbury,-44.25484176211,171.391637443692,,POINT (1471603.7175062357 5098564.032093142),0.0,0.0
109230,36770055,A2T5,ZI (Martins Bay SD),,Other,Not Beaconed,,9,Otago,-44.33058329728,168.093075843051,,POINT (1208771.178952358 5079687.535204274),0.0,0.0
120642,36747692,AMQN,BP BOUNDARY PEG,,Other,Not Beaconed,,12,Otago,-44.290716042718,168.11853851216,,POINT (1210537.2199634244 5084237.615639006),0.0,0.0
112330,36762475,A8VA,9722,Brass plaque.,Other,Not Beaconed,,9,Westland,-43.996376824,168.659152179,,POINT (1251943.2290271074 5119362.2994853845),0.0,0.0
107644,36735806,A8V7,SV NEILS BEACH,,Other,Not Beaconed,,9,Westland,-43.995929770316,168.649381815261,,POINT (1251157.1469080502 5119370.601490582),0.0,0.0
108813,36762473,A8UY,SU ARAWATA MOUTH,,Other,Not Beaconed,,9,Westland,-43.9969044356,168.6881788287,,POINT (1254273.8609366098 5119426.005429769),0.0,0.0
109394,36771365,A8VH,ST WAIATOTO,"IRON TUBE, STAMPED 'ST'.",Other,Not Beaconed,,9,Westland,-43.980720147927,168.773153570512,,POINT (1260995.3821574762 5121577.061483906),0.0,0.0
109248,36770220,A3KN,SH (Hapuka SD),Station mark has been washed away by the sea. See file GEO0303-09 of  26/3/98. Destroyed,Other,Not Beaconed,,9,Westland,-43.958513042406,168.831726068542,,POINT (1265568.5429152076 5124283.214583427),0.0,0.0
3985,46196687,F28F,PIN 1 SO 520878,12mm SS pin in conc abutment,Pin,Not Beaconed,Reliably Placed,4,Westland,-43.973748559,168.614061977,9.7164,POINT (1248193.6864152579 5121684.190205504),0.0,0.0
94621,46196688,F28G,IS 2 SO 520878,"Domed rod driven into wharf structure, dimple in top.  Adjacent timber recessed for leveling staff","Spike, Bar, Bolt, Rod, Dog",,Reliably Placed,6,Westland,-43.973721926,168.615719004,9.6801,POINT (1248326.4514064055 5121694.226040658),0.0,0.0
94984,46196686,F28H,IS 3 SO 520878,"Domed rod driven into wharf structure, dimple in top.  Adjacent timber recessed for leveling staff","Spike, Bar, Bolt, Rod, Dog",,Reliably Placed,6,Westland,-43.973347887,168.616057272,9.6542,POINT (1248351.3748040684 5121737.219626292),0.0,0.0
84604,46196689,F28J,BOLT 4 SO 520878,SS Engineering Bolt in Step of NIWA shed (behind door).,Other,,Reliably Placed,6,Westland,-43.973338941,168.616104038,9.7619,POINT (1248355.073436299 5121738.413478184),0.0,0.0
89777,46196690,F2DT,PIN 5 SO 520878,Reference pin for tide guage. Beside alloy box inside NIWA shed.,Other,,Reliably Placed,6,Westland,-43.973334397,168.616112326,9.7432,POINT (1248355.7124459217 5121738.952473731),0.0,0.0
108389,36752442,A3KL,PO (Okuru SD),,Other,Not Beaconed,,9,Westland,-43.908722748041,168.888275836762,,POINT (1269830.1157812923 5130041.764739875),0.0,0.0
34281,39894451,EUAX,IT XII SO 9226,25mm Iron Tube down 0.18 over IT XII SO 9226 down 0.68,Tube,,Reliably Placed,5,Westland,-43.896487134,168.918068027,10.2267,POINT (1272155.316988092 5131519.700032313),0.0,0.0
61948,36752443,A3KR,8692,Iron tube.,Other,Not Beaconed,Not Specified,6,Westland,-43.894518048,168.916705266,,POINT (1272035.0318196428 5131733.002402347),0.0,0.0
118496,36729900,B71R,G3 (Kapunatiki SD),,Other,Not Beaconed,,12,Canterbury,-44.217744337643,171.449707785508,,POINT (1476161.7308976739 5102773.772694298),0.0,0.0
125055,36774358,AMQE,60A,,Other,Not Beaconed,,12,Canterbury,-44.118370466667,171.6452801,,POINT (1491602.3802288177 5114087.687502666),0.0,0.0
125131,36738801,AMQG,58A,Washed away,Other,Not Beaconed,,12,Canterbury,-44.095969733333,171.700299216667,,POINT (1495965.459132063 5116646.759032762),0.0,0.0
125265,36765463,AMPD,61A,,Other,Not Beaconed,,12,Canterbury,-44.078365183333,171.743767633333,,POINT (1499415.0742223812 5118656.116910097),0.0,0.0
110027,36727231,AABP,45A,REPORTED DESTROYED 1987.,Other,Not Beaconed,,9,Canterbury,-44.0243885,171.8704754,,POINT (1509478.263341413 5124798.239992187),0.0,0.0
125215,36738800,AMQA,44A,Reported destroyed in 1891. DO SD returns.,Other,Not Beaconed,,12,Canterbury,-44.00172735,171.92347495,,POINT (1513692.8798162031 5127372.020140492),0.0,0.0
74187,36777537,BPYL,BLK XLIV SO 16846,,Other,Not Beaconed,Reliably Placed,6,Canterbury,-44.001673839,171.923258221,,POINT (1513675.4262008246 5127377.737316451),0.0,0.0
88349,36726305,A61C,42 A,2 IN DIAM IRON PIPE.  Destroyed by eroding coastline 2005.,Other,Not Beaconed,Reliably Placed,6,Canterbury,-43.976919529,171.982406539,,POINT (1518383.5679045138 5130187.367227434),0.0,0.0
68702,36742005,BQ5Q,BLK XV SO 16846,,Other,Not Beaconed,Reliably Placed,6,Canterbury,-43.966949186,172.005504312,,POINT (1520222.793866757 5131317.342255329),0.0,0.0
66377,36759785,BQ5T,BLK XIV SO 16843 (IT XIII DP 221,,Other,Not Beaconed,Reliably Placed,6,Canterbury,-43.954288502,172.037100474,,POINT (1522741.000736461 5132753.594468843),0.0,0.0
109865,36744031,B1K7,11 E,,Other,Not Beaconed,,9,Canterbury,-43.8773562,172.278630733333,,POINT (1542045.7961018863 5141495.912893244),0.0,0.0
24646,36817857,DBP4,IT XX DP 76317,IT 0.15m down in tussocks,Tube,Not Beaconed,Reliably Placed,5,Canterbury,-43.870608916,172.29924459,15.6086,POINT (1543695.5463691761 5142259.550771248),0.0,0.0
100216,49262986,F6FN,BP 1 BRUCE BAY,Bronze Plaque in concrete base of toilet block.,Plaque,Not Beaconed,Reliably Placed,6,Westland,-43.595982061389,169.602426473056,17.4758,POINT (1325752.8599671298 5167388.489424651),0.0,0.0
100215,49262985,F6FP,BP 2 BRUCE BAY,Bronze Plaque in large rock adjoining the road edgeline.,Plaque,Not Beaconed,Reliably Placed,6,Westland,-43.595965111667,169.602007941111,16.3893,POINT (1325718.997516137 5167388.988834642),0.0,0.0
