,building_i,name,use,suburb_loc,town_city,territoria,capture_me,capture_so,capture__1,capture__2,capture__3,capture__4,last_modif,geometry,affected_area,affected_length
2080573,1864998,,Unknown,Jackett Island,,Tasman District,Feature Extraction,NZ Aerial Imagery,1145,Tasman 0.3m Rural Aerial Photos (2018-2019),2019-01-02,2019-03-04,2020-07-13,"POLYGON ((1602684.325423922 5444628.389759236, 1602679.3535627194 5444623.362695221, 1602678.8270535949 5444623.676049852, 1602672.1643887786 5444631.294970958, 1602667.0151562565 5444639.870379763, 1602663.8781362942 5444648.612550941, 1602684.325423922 5444628.389759236))",141.07144533989114,65.8534470506435
1378077,4264424,,Unknown,Palm Beach,Waiheke Island,Auckland,Feature Extraction,NZ Aerial Imagery,1014,Auckland 0.075m Urban Aerial Photos (2017),2017-03-15,2017-05-06,2019-04-10,"MULTIPOLYGON (((1782214.3305445816 5927552.3375845775, 1782215.5293468372 5927551.922147024, 1782213.9224194495 5927551.159883398, 1782214.3305445816 5927552.3375845775)), ((1782221.3745346526 5927554.7024875395, 1782221.3838068366 5927554.699274321, 1782221.371377993 5927554.693378563, 1782221.3745346526 5927554.7024875395)))",0.7907379700851856,4.326924770791753
1378076,4264423,,Unknown,Palm Beach,Waiheke Island,Auckland,Feature Extraction,NZ Aerial Imagery,1014,Auckland 0.075m Urban Aerial Photos (2017),2017-03-15,2017-05-06,2019-04-10,"POLYGON ((1782207.5807655833 5927552.567750095, 1782203.5148966548 5927553.9333288595, 1782204.215042489 5927555.535884919, 1782208.126321284 5927554.313802019, 1782207.5807655833 5927552.567750095))",7.483948662998303,11.964943622997053
1367947,4252926,,Unknown,Oneroa,Waiheke Island,Auckland,Feature Extraction,NZ Aerial Imagery,1014,Auckland 0.075m Urban Aerial Photos (2017),2017-03-15,2017-05-06,2019-04-10,"POLYGON ((1779137.4836396435 5926465.291299506, 1779137.0864258737 5926465.6981462175, 1779138.3045747222 5926466.092797241, 1779137.4836396435 5926465.291299506))",0.32618033695539317,2.9963957320568984
1375469,4261685,,Unknown,Oneroa,Waiheke Island,Auckland,Feature Extraction,NZ Aerial Imagery,1014,Auckland 0.075m Urban Aerial Photos (2017),2017-03-15,2017-05-06,2019-04-10,"POLYGON ((1779166.505064057 5927635.036357975, 1779168.1146025343 5927635.544485654, 1779166.864765299 5927633.89697293, 1779166.505064057 5927635.036357975))",1.0083291135500998,4.950600073125757
1375468,4261684,,Unknown,Oneroa,Waiheke Island,Auckland,Feature Extraction,NZ Aerial Imagery,1014,Auckland 0.075m Urban Aerial Photos (2017),2017-03-15,2017-05-06,2019-04-10,"POLYGON ((1779170.6997114602 5927650.401228989, 1779169.977613247 5927647.596268287, 1779170.5113712775 5927645.70175298, 1779171.6404927757 5927646.0198700465, 1779172.62283824 5927642.533142814, 1779163.124067644 5927639.728923567, 1779161.1831707135 5927644.947585053, 1779164.079072608 5927646.538920531, 1779163.4816574727 5927648.276401372, 1779161.8464878136 5927648.3448097985, 1779162.8192448395 5927650.239969347, 1779160.44172049 5927655.700265124, 1779166.459309807 5927657.1610032, 1779173.1749537825 5927653.802371075, 1779173.9397922175 5927651.08766188, 1779172.9972503355 5927649.258072621, 1779170.6997114602 5927650.401228989))",149.59586371692762,61.14186624052989
1375171,4261359,,Unknown,Oneroa,Waiheke Island,Auckland,Feature Extraction,NZ Aerial Imagery,1014,Auckland 0.075m Urban Aerial Photos (2017),2017-03-15,2017-05-06,2019-04-10,"POLYGON ((1779209.2542509614 5927690.362361696, 1779209.8587871548 5927690.570910987, 1779209.393768659 5927689.95793206, 1779209.2542509614 5927690.362361696))",0.1367943348469907,1.8367214927935547
1375170,4261358,,Unknown,Oneroa,Waiheke Island,Auckland,Feature Extraction,NZ Aerial Imagery,1014,Auckland 0.075m Urban Aerial Photos (2017),2017-03-15,2017-05-06,2019-04-10,"POLYGON ((1779205.7211609494 5927691.825892881, 1779205.434041225 5927692.698246641, 1779198.250252566 5927690.333830418, 1779194.3468178795 5927702.193606077, 1779208.3834024365 5927706.813499922, 1779212.5582041924 5927694.129233456, 1779212.5045675184 5927694.058530567, 1779205.7211609494 5927691.825892881))",191.12802722741392,56.32798978051964
1375166,4261354,,Unknown,Oneroa,Waiheke Island,Auckland,Feature Extraction,NZ Aerial Imagery,1014,Auckland 0.075m Urban Aerial Photos (2017),2017-03-15,2017-05-06,2019-04-10,"POLYGON ((1779227.6970553275 5927716.239026519, 1779223.38881431 5927714.50314864, 1779221.9681043294 5927718.0291795, 1779228.2919927253 5927720.577203728, 1779229.207017196 5927718.306224853, 1779231.6443852717 5927719.288290403, 1779228.26389746 5927714.8321928205, 1779227.6970553275 5927716.239026519))",29.866680854882965,27.450369975977136
1375164,4261352,,Unknown,Oneroa,Waiheke Island,Auckland,Feature Extraction,NZ Aerial Imagery,1014,Auckland 0.075m Urban Aerial Photos (2017),2017-03-15,2017-05-06,2019-04-10,"POLYGON ((1779245.8745569298 5927756.518849569, 1779235.4420332583 5927756.511367292, 1779235.4414067564 5927757.384848029, 1779241.970669136 5927765.991603545, 1779245.8677605987 5927765.99439889, 1779245.8745569298 5927756.518849569))",70.74480924040053,35.48177644545572
